idx,나이,클릭 장소 목록,클릭 포스트 목록,클릭 영상 목록,상품목록1(결제화면),상품목록2(결제),상품목록3(장바구니),좋아요(상품),좋아요(스팟),북마크(상품),북마크(스팟),결제상품 목록,관심 아이템,관심 아웃도어
14642,47,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14643,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14644,45,,,,,,,,,,,,,
14645,40,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14646,23,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14647,28,,,,,,,,,,,,,
14648,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14649,44,,,,,,,,,,,,,
14650,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14651,41,,,,,,,,,,,,,
14652,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14653,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14654,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14655,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14656,27,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14657,45,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14658,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14659,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14660,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14661,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14662,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14663,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14665,51,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14666,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14667,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14668,33,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14669,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14670,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14671,57,,,,,,,,,,,,,
14672,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14673,26,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14674,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14675,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14676,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14677,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14678,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14679,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14680,33,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14681,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14682,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14683,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14684,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14685,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14686,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14687,35,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
14688,31,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
14689,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14690,47,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14691,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14692,22,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14693,28,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14694,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14695,42,,,,,,,,,,,,,
14696,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14697,25,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14698,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14699,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14700,46,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14701,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14702,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14703,35,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14704,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14705,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14706,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14707,55,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14708,30,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14709,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14710,46,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14711,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14712,33,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14713,57,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14714,46,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14715,54,,,,,,,,,,,,,
14716,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14717,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14718,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14719,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14720,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14721,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14722,38,,,,,,,,,,,,,
14723,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14724,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14725,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14726,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14727,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14728,29,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14729,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14730,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14731,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14732,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14733,45,,,,,,,,,,,,,
14734,24,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14735,41,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14736,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14737,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14738,30,,,,,,,,,,,,,
14739,37,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
14740,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14741,33,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14743,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14744,24,,,,,,,,,,,,,
14745,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14746,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14747,47,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14748,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14749,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14750,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14751,28,,,,,,,,,,,,,
14753,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14754,34,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14755,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14756,44,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
14757,31,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14758,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14759,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14760,38,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14761,41,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14762,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14763,39,,,,,,,,,,,,,
14764,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14765,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14766,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14767,28,,,,,,,,,,,,,
14768,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14769,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14770,64,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14771,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14772,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14773,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14774,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
14775,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14776,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14777,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14778,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14779,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14780,26,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14781,42,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14782,39,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14783,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14784,32,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14785,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14786,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14787,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14788,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14789,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14790,30,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14791,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14792,34,,,,,,,,,,,,,
14793,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14794,43,,,,,,,,,,,,,
14795,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14796,43,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14797,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14798,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14799,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14800,27,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14801,,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14802,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14803,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14805,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14806,35,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14807,54,,,,,,,,,,,,,
14808,35,,,,,,,,,,,,,
14809,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14810,28,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14811,35,,,,,,,,,,,,,
14812,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14813,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14814,30,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14815,38,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14816,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14817,33,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
14818,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14819,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14820,33,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14821,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14822,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14823,35,,,,,,,,,,,,,
14824,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14825,33,,,,,,,,,,,,,
14826,28,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14827,45,,,,,,,,,,,,,
14828,28,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14829,31,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14830,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14831,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14832,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14833,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14834,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14835,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14836,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14837,31,,,,,,,,,,,,,
14838,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14839,31,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14840,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14841,23,,,,,,,,,,,,,
14842,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14843,45,,,,,,,,,,,,,
14844,27,,,,,,,,,,,,,
14845,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14846,34,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14847,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14848,39,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
14849,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14850,46,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14851,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14852,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14853,45,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14854,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14855,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14856,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14857,56,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14858,23,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14859,42,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14860,26,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14861,39,,,,,,,,,,,,,
14862,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14863,47,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14864,26,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14865,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14866,-35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14867,44,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14868,47,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14869,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14870,40,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14871,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14872,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14873,27,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
14874,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14875,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14876,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14877,30,,,,,,,,,,,,,
14878,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14879,33,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14880,26,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14881,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14882,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14883,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14884,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14885,44,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14886,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14887,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14888,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14889,29,,,,,,,,,,,,,
14890,40,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14891,26,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14892,30,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14893,39,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14894,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14895,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14896,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14897,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14898,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14899,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14900,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14901,28,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14902,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14903,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14904,30,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14905,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14906,32,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
14907,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14908,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14909,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14910,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14911,37,,,,,,,,,,,,,
14912,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14913,34,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14914,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14915,26,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14916,36,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14917,30,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14918,39,,,,,,,,,,,,,
14919,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14920,33,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14921,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14922,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14923,41,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14924,27,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
14925,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14926,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14927,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14928,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14929,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14930,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14931,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14932,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14933,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14934,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14935,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14936,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14937,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14938,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14939,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14940,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14941,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14942,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14943,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14944,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14945,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14946,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14947,54,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14948,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14949,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14950,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14951,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14952,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14953,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14954,38,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14955,36,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
14956,29,,,,,,,,,,,,,
14957,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14958,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14959,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14960,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14961,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14962,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14963,46,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14964,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14965,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14967,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14968,44,,,,,,,,,,,,,
14969,40,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14970,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14971,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14972,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14973,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14974,47,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14975,48,,,,,,,,,,,,,
14976,31,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14977,32,,,,,,,,,,,,"[1,0,0]","[0,0,0,0,0,0,0,0,0,1]"
14978,41,,,,,,,,,,,,,
14979,33,,,,,,,,,,,,,
14980,33,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14981,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14982,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14983,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14984,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14985,46,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14986,44,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14987,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14988,45,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14989,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14990,35,,,,,,,,,,,,,"[0,0,0,1,0,0,0,0,0,0]"
14991,56,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14992,40,,,,,,,,,,,,,
14993,53,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
14994,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14995,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14996,40,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
14997,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
14998,27,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
14999,34,,,,,,,,,,,,,
15000,40,,,,,,,,,,,,,
15001,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
15002,30,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
15003,37,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
15004,42,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
15005,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
15006,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
